name,desc,archived_date
AVFS 101 Visit,"Presentation sharing ""your history/education/what brought you to Idaho/what you do at UI, what services the Library provides, what events/activities they host, and how students can utilize your resources""",2024-11-06T18:19:54.589Z
GIS Reference Question,"From Terry: I want to make an appointment to meet with you or representative to help guide me through the achieve search for old aerial photography in the Juliaetta, Idaho area. I've looked through the photo positives before and know they go back to about 1940.

The coordinate for the Juliaetta site is:

latitude 46.570845° (decimal degrees) or 46°34'15"" (degrees, minutes and seconds)

longitude  -116.711528° (decimal degrees) or -116°42'41"" (degrees, minutes and seconds)

‌

- [Google Earth](https://earth.google.com/web/search/46.571033077851524,+-116.71156018650466/@46.57103261,-116.71156027,361.03553116a,1600.92722224d,35y,83.319397h,0t,0r/data=Cj4iJgokCUiusbzAYEdAEaENhERgW0dAGS0_ot7rO13AIbJwFhAxRF3AKhAIARIKMTk4NS0xMi0zMRgBQgIIAToDCgEwSg0I____________ARAA ""‌"")
  - Only goes back to 1985 (and fidelity is low)
- [ArcGIS World Imagery Wayback](https://livingatlas.arcgis.com/wayback/#active=10&mapCenter=-116.71452%2C46.57113%2C16 ""‌"")
  - Only goes back to 2014
- Check out physical file storage tomorrow",2024-10-23T23:24:00.811Z
CALS indigenous Farming Practices Ref,"- [Nez Perce National Historical Park Oral History Collections](https://www.nps.gov/nepe/learn/historyculture/collections.htm ""‌"")
- [U of I Extension Publications](https://www.uidaho.edu/extension/publications/publication-search-results?Query=%22farming+practices%22&Category=&Sort=Relevance ""‌"") (not very historically focused)
- [U of I Web of Science](https://www-webofscience-com.uidaho.idm.oclc.org/wos/alldb/summary/7759fe1e-75b8-4ff5-9800-38413328e22a-0111c8391f/relevance/1 ""‌"")
- [Idaho Yesterdays Index](https://nic.libguides.com/IDY ""‌"") (published by the Idaho State Historical Society)
- [USDA National Agricultural Library](https://usdasearch.usda.gov/search?query=%22idaho%22+%22farming+practices%22&affiliate=www.nal.usda.gov&op=Submit+Search ""‌"")",2024-10-14T22:22:04.255Z
"Fontes, Maria CALS reference question",,2024-10-07T17:56:41.467Z
Update CALS presentation,"[https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing](https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing ""smartCard-inline"")",2024-10-04T19:16:02.183Z
Rita presentation reference,,2024-09-03T16:03:16.932Z
Adobe Premiere privacy reference question,,2024-07-08T23:52:20.431Z
North Idaho Recap,"- Edit pass one more time
- add images
- add hyperlinks",2024-06-20T03:33:25.874Z
