name,desc,archived_date
Make GIF template for advertising digital collections,,2024-09-20T18:44:20.341Z
Promotion Screens,"Feels like our overall promotion is also outdated and very paper based. Why don’t we have like four screens that are all hooked up to the same system, playing by the reference desk, First floor seating area, second floor lounge and elevator. Less labor, more effective, more engaging, less waste.

Also can be used to telegraph reference questions that will be one less thing that reference needs to communicate

Wont be an IT hurdle because it can be run through a thumb drive

Not only outreach around publishing but also higher level advertising about how many interesting projects we are working on",2024-07-10T21:32:02.984Z
Add Harvester and DBnews article to CV,,2024-07-03T23:00:07.102Z
Share with Harvester post with contacts as a thank you,,2024-07-03T22:27:20.545Z
North Idaho Recap,"- Edit pass one more time
- add images
- add hyperlinks",2024-06-20T03:33:25.874Z
